DATE,PAYEMS
2010-01-01,129653
2010-02-01,129678
2010-03-01,129933
2010-04-01,130117
2010-05-01,130341
2010-06-01,130093
2010-07-01,130164
2010-08-01,130240
2010-09-01,130199
2010-10-01,130374
2010-11-01,130601
2010-12-01,130883
2011-01-01,131009
2011-02-01,131270
2011-03-01,131526
2011-04-01,131747
2011-05-01,131949
2011-06-01,132044
2011-07-01,132268
2011-08-01,132330
2011-09-01,132633
2011-10-01,132867
2011-11-01,133165
2011-12-01,133393
2012-01-01,133712
2012-02-01,134063
2012-03-01,134387
2012-04-01,134547
2012-05-01,134687
2012-06-01,134812
2012-07-01,134976
2012-08-01,135183
2012-09-01,135446
2012-10-01,135668
2012-11-01,135862
2012-12-01,136086
2013-01-01,136380
2013-02-01,136614
2013-03-01,136794
2013-04-01,137008
2013-05-01,137261
2013-06-01,137476
2013-07-01,137659
2013-08-01,137870
2013-09-01,138009
2013-10-01,138243
2013-11-01,138429
2013-12-01,138650
2014-01-01,138798
2014-02-01,138994
2014-03-01,139351
2014-04-01,139657
2014-05-01,139937
2014-06-01,140366
2014-07-01,140701
2014-08-01,141014
2014-09-01,141320
2014-10-01,141604
2014-11-01,141912
2014-12-01,142160
2015-01-01,142454
2015-02-01,142839
2015-03-01,143126
2015-04-01,143384
2015-05-01,143568
2015-06-01,143833
2015-07-01,144117
2015-08-01,144323
2015-09-01,144600
2015-10-01,144857
2015-11-01,145167
2015-12-01,145408
2016-01-01,145586
2016-02-01,145835
2016-03-01,146055
2016-04-01,146215
2016-05-01,146399
2016-06-01,146599
2016-07-01,146799
2016-08-01,147041
2016-09-01,147273
2016-10-01,147501
2016-11-01,147660
2016-12-01,145826
2017-01-01,145955
2017-02-01,146158
2017-03-01,146329
2017-04-01,146611
2017-05-01,146791
2017-06-01,147017
2017-07-01,147218
2017-08-01,147432
2017-09-01,147570
2017-10-01,147755
2017-11-01,148023
2017-12-01,148215
2018-01-01,148397
2018-02-01,148643
2018-03-01,148861
2018-04-01,149074
2018-05-01,149297
2018-06-01,149545
2018-07-01,149762
2018-08-01,149991
2018-09-01,150218
2018-10-01,150430
2018-11-01,150589
2018-12-01,150786
2019-01-01,151001
2019-02-01,151225
2019-03-01,151468
2019-04-01,151668
2019-05-01,151855
2019-06-01,152054
2019-07-01,152273
2019-08-01,152499
2019-09-01,152691
2019-10-01,152900
2019-11-01,153128
2019-12-01,152431
2020-01-01,152534
2020-02-01,152523
2020-03-01,150080
2020-04-01,130073
2020-05-01,132748
2020-06-01,137813
2020-07-01,139672
2020-08-01,141258
2020-09-01,142293
2020-10-01,143060
2020-11-01,143160
2020-12-01,142570
2021-01-01,143008
2021-02-01,143472
2021-03-01,144115
2021-04-01,144697
2021-05-01,145221
2021-06-01,145938
2021-07-01,146706
2021-08-01,147481
2021-09-01,147843
2021-10-01,148451
2021-11-01,148970
2021-12-01,149636
2022-01-01,150133
2022-02-01,150617
2022-03-01,151237
2022-04-01,151818
2022-05-01,152369
2022-06-01,152762
2022-07-01,153305
2022-08-01,153699
2022-09-01,154007
2022-10-01,154341
2022-11-01,154579
2022-12-01,154824
2023-01-01,155296
2023-02-01,155558
2023-03-01,155818
2023-04-01,155965
2023-05-01,156252
2023-06-01,156541
2023-07-01,156769
2023-08-01,157046
2023-09-01,157347
2023-10-01,157450
2023-11-01,157591
2023-12-01,157808
2024-01-01,157917
2024-02-01,158201
2024-03-01,158604
2024-04-01,158715
2024-05-01,158882
2024-06-01,159002
2024-07-01,159138
2024-08-01,159335
2024-09-01,159510
2024-10-01,159540
2024-11-01,159738
2024-12-01,159841
2025-01-01,159940
2025-02-01,160069
2025-03-01,160192
